ADM1_PCODE,Province
CN034,Anhui Province
CN011,Beijing Municipality
CN050,Chongqing Municipality
CN035,Fujian Province
CN062,Gansu province
CN044,Guangdong Province
CN045,Guangxi Zhuang Autonomous Region
CN052,Guizhou Province
CN046,Hainan Province
CN013,Hebei Province
CN023,Heilongjiang Province
CN041,Henan Province
CN042,Hubei Province
CN043,Hunan Province
CN015,Inner Mongolia Autonomous Region
CN032,Jiangsu Province
CN036,Jiangxi Province
CN022,Jilin Province
CN021,Liaoning Province
CN064,Ningxia Hui Autonomous Region
CN063,Qinghai Province
CN061,Shaanxi Province
CN037,Shandong Province
CN031,Shanghai Municipality
CN014,Shanxi Province
CN051,Sichuan Province
CN012,Tianjin Municipality
CN065,Xinjiang Uygur Autonomous Region
CN053,Yunnan Province
CN033,Zhejiang Province