Name,vkt_lower,vkt_baseline,vkt_upper
Anhui,19617.7914,13079,6539.264
Beijing,12920.82815,8614,4306.943
Chongqing,18756.24322,12504,6252.081
Fujian,17292.24766,11528,5764.083
Gansu,22158.09479,14772,7386.032
Guangdong,16291.27751,10861,5430.426
Guangxi,20342.30809,13562,6780.769
Guizhou,21664.84983,14443,7221.617
Hainan,19483.39989,12989,6494.467
Hebei,17726.70286,11818,5908.901
Heilongjiang,19452.65237,12968,6484.217
Henan,19546.39103,13031,6515.464
Hubei,19014.98543,12677,6338.328
Hunan,19503.58126,13002,6501.194
Inner Mongolia,16608.33859,11072,5536.113
Jiangsu,15818.18687,10545,5272.729
Jiangxi,19505.56667,13004,6501.856
Jilin,18764.01889,12509,6254.673
Liaoning,17373.6822,11582,5791.227
Ningxia,18186.83319,12125,6062.278
Qinghai,18999.03306,12666,6333.011
Shaanxi,18446.55448,12298,6148.851
Shandong,16326.71428,10884,5442.238
Shanghai,13896.44791,9264,4632.149
Shanxi,18162.61106,12108,6054.204
Sichuan,19670.54888,13114,6556.850
Tianjin,15070.47439,10047,5023.491
Xinjiang,18814.70442,12543,6271.568
Yunnan,19872.1217,13248,6624.041
Zhejiang,14303.0293,9535,4767.676